carrier_name|id
Carrier 1063570|397
Carrier 1631385|398
Carrier 1199797|399
Carrier 1048479|400
Carrier 1371093|401
Carrier 1574067|402
Carrier 1693814|403
Carrier 61452|404
Carrier 1695181|405
Carrier 130636|406
Carrier 951592|407
Carrier 88258|408
Carrier 1695793|409
Carrier 1335316|410
Carrier 1284839|411
Carrier 1080120|412
Carrier 1695653|413
Carrier 1492032|414
Carrier 1306297|415
Carrier 628093|416
Carrier 1695614|417
Carrier 17203|418
Carrier 1069611|419
Carrier 1678683|420
Carrier 1695362|421
Carrier 1036533|422
Carrier 1020455|423
Carrier 1200282|424
Carrier 1403627|425
Carrier 1005988|426
Carrier 1045989|427
Carrier 32026|428
Carrier 11186|429
Carrier 3351|430
Carrier 916023|431
Carrier 797827|432
Carrier 68490|433
Carrier 979154|434
Carrier 1386221|435
Carrier 1477837|436
Carrier 1036138|437
Carrier 1045595|438
Carrier 1695452|439
Carrier 1293536|440
Carrier 1051135|441
Carrier 977012|442
Carrier 100891|443
Carrier 988304|444
Carrier 1241432|445
Carrier 1316515|446
Carrier 32519|447
Carrier 1695612|448
Carrier 1210765|449
Carrier 1695750|450
Carrier 1465851|451
Carrier 1061546|452
Carrier 90481|453
Carrier 62279|454
Carrier 87518|455
Carrier 1458303|456
Carrier 1041911|457
Carrier 1565635|458
Carrier 1695468|459
Carrier 1695350|460
Carrier 53590|461
Carrier 1486119|462
Carrier 266164|463
Carrier 1028053|464
Carrier 1241246|465
Carrier 1377814|466
Carrier 961246|467
Carrier 1059812|468
Carrier 1558348|469
Carrier 178|470
Carrier 1006210|471
Carrier 79277|472
Carrier 412137|473
Carrier 73924|474
Carrier 107434|475
Carrier 74506|476
Carrier 1076253|477
Carrier 1233188|478
Carrier 1229228|479
Carrier 1489000|480
Carrier 80744|481
Carrier 78161|482
Carrier 1064161|483
Carrier 1010542|484
Carrier 1693566|485
Carrier 1690730|486
Carrier 21656|487
Carrier 1206565|488
Carrier 1073769|489
Carrier 85462|490
Carrier 374207|491
Carrier 1018849|492
Carrier 1678239|493
Carrier 1071405|494
Carrier 746729|495
Carrier 1515117|496
Carrier 17452|497
Carrier 997348|498
Carrier 96912|499
Carrier 1347068|500
Carrier 48101|501
Carrier 359620|502
Carrier 1694577|503
Carrier 1042794|504
Carrier 1308277|505
Carrier 1695581|506
Carrier 1575384|507
Carrier 1695802|508
Carrier 1261469|509
Carrier 507487|510
Carrier 1695767|511
Carrier 1460563|512
Carrier 125642|513
Carrier 1069790|514
Carrier 97866|515
Carrier 49010|516
Carrier 1359323|517
Carrier 89013|518
Carrier 1695283|519
Carrier 775562|520
Carrier 1039528|521
Carrier 41352|522
Carrier 1657136|523
Carrier 1652456|524
Carrier 1695586|525
Carrier 1215425|526
Carrier 1695477|527
Carrier 1394742|528
Carrier 369899|529
Carrier 118543|530
Carrier 528438|531
Carrier 91000|532
Carrier 1478638|533
Carrier 1044865|534
Carrier 106013|535
Carrier 1077485|536
Carrier 1601608|537
Carrier 1391219|538
Carrier 117594|539
Carrier 1695800|540
Carrier 1693961|541
Carrier 154651|542
Carrier 1404268|543
Carrier 1227320|544
Carrier 1466230|545
Carrier 1084875|546
Carrier 831746|547
Carrier 1695191|548
Carrier 1410092|549
Carrier 50084|550
Carrier 1541477|551
Carrier 80546|552
Carrier 1086354|553
Carrier 5631|554
Carrier 1694503|555
Carrier 1695672|556
Carrier 78593|557
Carrier 1438153|558
Carrier 27623|559
Carrier 994590|560
Carrier 1243047|561
Carrier 91391|562
Carrier 1242567|563
Carrier 1380254|564
Carrier 1492064|565
Carrier 1694091|566
Carrier 937972|567
Carrier 1695337|568
Carrier 1391175|569
Carrier 1445198|570
Carrier 1635072|571
Carrier 75410|572
Carrier 1411282|573
Carrier 1648273|574
Carrier 1244151|575
Carrier 1547960|576
Carrier 1008878|577
Carrier 374915|578
Carrier 1596639|579
Carrier 1200987|580
Carrier 49484|581
Carrier 83801|582
Carrier 1569075|583
Carrier 1057708|584
Carrier 1647427|585
Carrier 1394523|586
Carrier 51077|587
Carrier 53261|588
Carrier 1693572|589
Carrier 1695088|590
Carrier 954438|591
Carrier 22870|592
Carrier 1693795|593
Carrier 1241917|594
Carrier 1323292|595
Carrier 715502|596
Carrier 1695436|597
Carrier 770018|598
Carrier 844999|599
Carrier 63807|600
Carrier 1443130|601
Carrier 1215413|602
Carrier 1396578|603
Carrier 1687142|604
Carrier 1031227|605
Carrier 116644|606
Carrier 1693500|607
Carrier 961685|608
Carrier 305473|609
Carrier 17677|610
Carrier 1027599|611
Carrier 33320|612
Carrier 68912|613
Carrier 22817|614
Carrier 686275|615
Carrier 864486|616
Carrier 1673649|617
Carrier 30737|618
Carrier 977560|619
Carrier 1015306|620
Carrier 1493496|621
Carrier 1044218|622
Carrier 49199|623
Carrier 1549011|624
Carrier 1695487|625
Carrier 288241|626
Carrier 953052|627
Carrier 1043515|628
Carrier 1047452|629
Carrier 51278|630
Carrier 1135169|631
Carrier 1695369|632
Carrier 106325|633
Carrier 1645011|634
Carrier 53723|635
Carrier 1482236|636
Carrier 1693570|637
Carrier 85072|638
Carrier 1040438|639
Carrier 115448|640
Carrier 1444016|641
Carrier 55977|642
Carrier 40344|643
Carrier 75065|644
Carrier 1542284|645
Carrier 788499|646
Carrier 71646|647
Carrier 1674128|648
Carrier 1046654|649
Carrier 117607|650
Carrier 65487|651
Carrier 1635733|652
Carrier 1036102|653
Carrier 1056206|654
Carrier 86454|655
Carrier 1619790|656
Carrier 1350533|657
Carrier 1048375|658
Carrier 1695839|659
Carrier 114280|660
Carrier 1327784|661
Carrier 1066326|662
Carrier 44490|663
Carrier 994528|664
