lane|id|pickup|delivery
Brownsville,TX -> Swedesboro,NJ|131|Brownsville,TX|Swedesboro,NJ
St. Louis,MO -> Portland,OR|132|St. Louis,MO|Portland,OR
Nogales,AZ -> Spokane,WA|133|Nogales,AZ|Spokane,WA
St. Louis,MO -> Missoula,MT|134|St. Louis,MO|Missoula,MT
Canton,NC -> Laredo,TX|135|Canton,NC|Laredo,TX
St. Louis,MO -> Fort Lauderdale,FL|136|St. Louis,MO|Fort Lauderdale,FL
Eagan,MN -> Fife,WA|137|Eagan,MN|Fife,WA
Geneva,IL -> Tracy,CA|138|Geneva,IL|Tracy,CA
Newark,NJ -> Jacksonville,FL|139|Newark,NJ|Jacksonville,FL
Portland,OR -> Wood Dale,IL|140|Portland,OR|Wood Dale,IL
Fairfield,CA -> Cartersville,GA|141|Fairfield,CA|Cartersville,GA
Los Angeles,CA -> La Porte,TX|142|Los Angeles,CA|La Porte,TX
Maricopa,AZ -> Methuen,MA|143|Maricopa,AZ|Methuen,MA
Janesville,WI -> Roanoke,TX|144|Janesville,WI|Roanoke,TX
Fort Collins,CO -> Colonial Heights,VA|145|Fort Collins,CO|Colonial Heights,VA
Eagan,MN -> Modesto,CA|146|Eagan,MN|Modesto,CA
St. Louis,MO -> Ocala,FL|147|St. Louis,MO|Ocala,FL
Batavia,IL -> Reno,NV|148|Batavia,IL|Reno,NV
Williams,MN -> Elmer,NJ|149|Williams,MN|Elmer,NJ
La Pine,OR -> Tempe,AZ|150|La Pine,OR|Tempe,AZ
Dickson,TN -> Plant City,FL|151|Dickson,TN|Plant City,FL
Crete,IL -> Santa Ana,CA|152|Crete,IL|Santa Ana,CA
Newark,NJ -> Tampa,FL|153|Newark,NJ|Tampa,FL
Tracy,CA -> Hebron,KY|154|Tracy,CA|Hebron,KY
Plant City,FL -> Commerce,CA|155|Plant City,FL|Commerce,CA
Williamsburg,VA -> Miami,FL|156|Williamsburg,VA|Miami,FL
Aurora,CO -> Kalispell,MT|157|Aurora,CO|Kalispell,MT
Sioux City,IA -> Rocky Mount,NC|158|Sioux City,IA|Rocky Mount,NC
Rio Rico,AZ -> Denver,CO|159|Rio Rico,AZ|Denver,CO
Portland,OR -> Portland,OR|160|Portland,OR|Portland,OR
Los Angeles,CA -> Granite City,IL|161|Los Angeles,CA|Granite City,IL
Lockport,IL -> Cleveland,NC|162|Lockport,IL|Cleveland,NC
Cartersville,GA -> Portland,OR|163|Cartersville,GA|Portland,OR
Jacksonville,AL -> Brooklyn Park,MN|164|Jacksonville,AL|Brooklyn Park,MN
Sioux City,IA -> Pittston,PA|165|Sioux City,IA|Pittston,PA
Pittsburgh,PA -> Salt Lake City,UT|166|Pittsburgh,PA|Salt Lake City,UT
Holiday City,OH -> Cartersville,GA|167|Holiday City,OH|Cartersville,GA
Baldwinsville,NY -> Boise,ID|168|Baldwinsville,NY|Boise,ID
Newark,NJ -> Sanford,FL|169|Newark,NJ|Sanford,FL
Newark,NJ -> Pensacola,FL|170|Newark,NJ|Pensacola,FL
Trenton,MO -> Cleveland,NC|171|Trenton,MO|Cleveland,NC
St. Louis,MO -> Eugene,OR|172|St. Louis,MO|Eugene,OR
Florence,KY -> Swedesboro,NJ|173|Florence,KY|Swedesboro,NJ
Fort Collins,CO -> Sheridan,WY|174|Fort Collins,CO|Sheridan,WY
Bolingbrook,IL -> Wells,ME|175|Bolingbrook,IL|Wells,ME
St. Louis,MO -> Cranston,RI|176|St. Louis,MO|Cranston,RI
Minneapolis,MN -> Denver,CO|177|Minneapolis,MN|Denver,CO
Trenton,MO -> Mount Holly,NC|178|Trenton,MO|Mount Holly,NC
Williamsburg,VA -> Aurora,CO|179|Williamsburg,VA|Aurora,CO
Baldwinsville,NY -> Cody,WY|180|Baldwinsville,NY|Cody,WY
St. Louis,MO -> Pueblo,CO|181|St. Louis,MO|Pueblo,CO
Pleasant Prairie,WI -> Cartersville,GA|182|Pleasant Prairie,WI|Cartersville,GA
Quincy,WA -> Brea,CA|183|Quincy,WA|Brea,CA
St. Louis,MO -> Tampa,FL|184|St. Louis,MO|Tampa,FL
Plant City,FL -> Compton,CA|185|Plant City,FL|Compton,CA
Fort Collins,CO -> Pittsburgh,PA|186|Fort Collins,CO|Pittsburgh,PA
Jacksonville,FL -> Bronx,NY|187|Jacksonville,FL|Bronx,NY
Fort Collins,CO -> Bronx,NY|188|Fort Collins,CO|Bronx,NY
Jacksonville,FL -> Aurora,CO|189|Jacksonville,FL|Aurora,CO
Los Angeles,CA -> McAllen,TX|190|Los Angeles,CA|McAllen,TX
Beecher,IL -> Santa Ana,CA|191|Beecher,IL|Santa Ana,CA
Batavia,IL -> Swedesboro,NJ|192|Batavia,IL|Swedesboro,NJ
St. Louis,MO -> Rock Springs,WY|193|St. Louis,MO|Rock Springs,WY
Plant City,FL -> Queens,NY|194|Plant City,FL|Queens,NY
Plant City,FL -> Haverstraw,NY|195|Plant City,FL|Haverstraw,NY
Pittsburgh,PA -> Jurupa Valley,CA|196|Pittsburgh,PA|Jurupa Valley,CA
Plant City,FL -> Methuen,MA|197|Plant City,FL|Methuen,MA
Downey,ID -> Elmira,MI|198|Downey,ID|Elmira,MI
Watertown,WI -> Santa Ana,CA|199|Watertown,WI|Santa Ana,CA
Plant City,FL -> Schenectady,NY|200|Plant City,FL|Schenectady,NY
St. Louis,MO -> Corpus Christi,TX|201|St. Louis,MO|Corpus Christi,TX
Granite City,IL -> Niagara,WI|202|Granite City,IL|Niagara,WI
Cartersville,GA -> Aurora,CO|203|Cartersville,GA|Aurora,CO
Newark,NJ -> Orlando,FL|204|Newark,NJ|Orlando,FL
Plant City,FL -> Syracuse,NY|205|Plant City,FL|Syracuse,NY
Los Angeles,CA -> Hayden,ID|206|Los Angeles,CA|Hayden,ID
Monte Vista,CO -> Plant City,FL|207|Monte Vista,CO|Plant City,FL
Henderson,NV -> Tracy,CA|208|Henderson,NV|Tracy,CA
Georgetown,SC -> Anaheim,CA|209|Georgetown,SC|Anaheim,CA
Houston,TX -> Casper,WY|210|Houston,TX|Casper,WY
Monte Vista,CO -> Roanoke,TX|211|Monte Vista,CO|Roanoke,TX
Santa Ana,CA -> McDonough,GA|212|Santa Ana,CA|McDonough,GA
Lakeland,FL -> Compton,CA|213|Lakeland,FL|Compton,CA
Tampa,FL -> Compton,CA|214|Tampa,FL|Compton,CA
Brooklyn Park,MN -> Tampa,FL|215|Brooklyn Park,MN|Tampa,FL
